,State,precipitation,sunshine,temperature,Harvested Acres,mean,prediction
0,ALABAMA,58.3,58,62.8,250000,39122500,40273396.82778575
1,ARIZONA,13.6,85,60.3,15000,4770000,4468538.828037964
2,ARKANSAS,50.6,61,60.4,645000,112815000,105706505.2468696
3,CALIFORNIA,22.2,68,59.4,65000,12302500,9069979.783978764
4,COLORADO,15.9,71,45.1,1200000,170950000,158014063.60909954
5,DELAWARE,45.7,64,55.3,166000,28194500,21794577.441632684
6,FLORIDA,54.5,66,70.7,65000,8081000,10027299.691591714
7,GEORGIA,50.7,66,63.5,285000,46640000,44268519.69649433
8,IDAHO,18.9,64,44.4,135000,26050000,30630124.368569348
9,ILLINOIS,39.2,56,51.8,10850000,2239725000,2276875596.1251683
10,INDIANA,41.7,55,51.7,5200000,959400000,978131675.4535748
11,IOWA,34.0,59,47.8,12800000,2557300000,2508925664.5445633
12,KANSAS,28.9,65,54.3,5000000,665700000,647439396.7047005
13,KENTUCKY,48.9,56,55.6,1230000,216205000,206182811.24788046
14,LOUISIANA,60.1,57,66.4,450000,84005000,76487138.3229962
15,MARYLAND,44.5,57,54.2,390000,64590000,53964234.351484895
16,MICHIGAN,32.8,51,44.4,1940000,298665000,301875432.8804088
17,MINNESOTA,27.3,58,41.2,7490000,1421700000,1360448940.6690907
18,MISSISSIPPI,59.0,61,63.4,465000,90262500,86212132.29195376
19,MISSOURI,42.2,61,54.5,3330000,509350000,496739146.29172397
20,MONTANA,15.3,59,42.7,68000,5165000,8642157.482653184
21,NEBRASKA,23.6,61,48.8,9310000,1735410000,1785603945.2669418
22,NEW JERSEY,47.1,56,52.7,61000,10145500,10716650.33794475
23,NEW MEXICO,14.6,76,53.4,35000,6153500,6477650.226415151
24,NEW YORK,41.8,46,45.4,645000,90320000,109673830.63823077
25,NORTH CAROLINA,50.3,60,59.0,830000,106535000,104706862.05538334
26,NORTH DAKOTA,17.8,59,40.4,2930000,448630000,448595710.6748351
27,OHIO,39.1,50,50.7,3300000,587325000,589632762.7778088
28,OKLAHOMA,36.5,68,59.6,280000,37975000,35783881.04041738
29,OREGON,27.4,48,48.4,45000,9051500,9501020.91340443
30,PENNSYLVANIA,42.9,58,48.8,950000,140560000,128785618.01919359
31,SOUTH CAROLINA,49.8,64,62.4,310000,41785000,44011870.34485006
32,SOUTH DAKOTA,20.1,63,45.2,4860000,757100000,764230494.7023141
33,TENNESSEE,54.2,56,57.6,690000,118665000,108667656.6297864
34,TEXAS,28.9,61,64.8,1750000,251300000,192459555.35656375
35,UTAH,12.2,66,48.6,22000,3762000,6388305.742257473
36,VIRGINIA,44.3,63,55.1,325000,47525000,42224559.28110358
37,WASHINGTON,38.4,47,48.3,85000,18350000,19909001.155232273
38,WEST VIRGINIA,45.2,46,51.8,33000,5016000,7465494.767480787
39,WISCONSIN,32.6,54,43.1,3170000,527530000,547080635.1641419
40,WYOMING,12.9,68,42.0,70000,10622500,11653907.927202525
