,State,precipitation,sunshine,temperature,Harvested Acres,mean,prediction
0,ALABAMA,58.3,58,62.8,250000,39122500,38853760.4
1,ARIZONA,13.6,85,60.3,15000,4770000,3549630.3
2,ARKANSAS,50.6,61,60.4,645000,112815000,115579187.7
3,CALIFORNIA,22.2,68,59.4,65000,12302500,10716356.7
4,COLORADO,15.9,71,45.1,1200000,170950000,155724696.3
5,DELAWARE,45.7,64,55.3,166000,28194500,24849618.1
6,FLORIDA,54.5,66,70.7,65000,8081000,10292728.0
7,GEORGIA,50.7,66,63.5,285000,46640000,49608101.3
8,IDAHO,18.9,64,44.4,135000,26050000,28381715.6
9,ILLINOIS,39.2,56,51.8,10850000,2239725000,2275061684.9
10,INDIANA,41.7,55,51.7,5200000,959400000,982672689.6
11,IOWA,34,59,47.8,12800000,2557300000,2519485462.9
12,KANSAS,28.9,65,54.3,5000000,665700000,643660022.6
13,KENTUCKY,48.9,56,55.6,1230000,216205000,215768066.3
14,LOUISIANA,60.1,57,66.4,450000,84005000,78101864.8
15,MARYLAND,44.5,57,54.2,390000,64590000,56629094.2
16,MICHIGAN,32.8,51,44.4,1940000,298665000,295621895.8
17,MINNESOTA,27.3,58,41.2,7490000,1421700000,1361754626.5
18,MISSISSIPPI,59,61,63.4,465000,90262500,86179651.3
19,MISSOURI,42.2,61,54.5,3330000,509350000,463529344.0
20,MONTANA,15.3,59,42.7,68000,5165000,6477616.1
21,NEBRASKA,23.6,61,48.8,9310000,1735410000,1788931849.9
22,NEW JERSEY,47.1,56,52.7,61000,10145500,8687569.2
23,NEW MEXICO,14.6,76,53.4,35000,6153500,6193057.7
24,NEW YORK,41.8,46,45.4,645000,90320000,103080057.5
25,NORTH CAROLINA,50.3,60,59,830000,106535000,95012820.8
26,NORTH DAKOTA,17.8,59,40.4,2930000,448630000,448038320.3
27,OHIO,39.1,50,50.7,3300000,587325000,616073088.8
28,OKLAHOMA,36.5,68,59.6,280000,37975000,37656518.8
29,OREGON,27.4,48,48.4,45000,9051500,8792065.7
30,PENNSYLVANIA,42.9,58,48.8,950000,140560000,132179966.0
31,SOUTH CAROLINA,49.8,64,62.4,310000,41785000,39891655.5
32,SOUTH DAKOTA,20.1,63,45.2,4860000,757100000,777342234.8
33,TENNESSEE,54.2,56,57.6,690000,118665000,115729112.0
34,TEXAS,28.9,61,64.8,1750000,251300000,188874693.8
35,UTAH,12.2,66,48.6,22000,3762000,4095396.2
36,VIRGINIA,44.3,63,55.1,325000,47525000,47525123.3
37,WASHINGTON,38.4,47,48.3,85000,18350000,18659952.5
38,WEST VIRGINIA,45.2,46,51.8,33000,5016000,5058794.4
39,WISCONSIN,32.6,54,43.1,3170000,527530000,540590586.5
40,WYOMING,12.9,68,42,70000,10622500,11370928.9
